Date,Close/Last,RSI,
15:25,139.23439,73.001977,
03/13/2017,139.6,77.457388,
03/10/2017,138.79,74.33404,
03/09/2017,138.24,71.959842,
03/08/2017,137.72,69.564169,
03/07/2017,137.3,67.548742,
03/06/2017,137.42,68.718867,
03/03/2017,137.17,67.668747,
03/02/2017,136.76,65.983219,
03/01/2017,137.42,71.37406,
02/28/2017,135.54,63.789862,
02/27/2017,136.41,71.70182,
02/24/2017,135.44,67.679196,
02/23/2017,135.36,67.334528,
02/22/2017,136.12,74.089804,
02/21/2017,133.72,63.755291,
02/17/2017,133.53,62.695135,
02/16/2017,133.84,65.50882,
02/15/2017,133.44,63.612394,
02/14/2017,133.85,67.011325,
02/13/2017,134.05,68.621031,
02/10/2017,134.19,69.675463,
02/09/2017,134.14,69.524945,
02/08/2017,134.2,69.899654,
02/07/2017,131.84,62.802759,
02/06/2017,132.06,64.070136,
02/03/2017,130.98,60.55304,
02/02/2017,130.84,60.097342,
02/01/2017,133.23,73.065867,
01/31/2017,130.32,64.724277,
01/30/2017,130.98,69.092128,
01/27/2017,132.18,77.668984,
01/26/2017,132.78,82.26439,
01/25/2017,131.48,79.951273,
01/24/2017,129.37,75.232684,
01/23/2017,128.93,74.088128,
01/20/2017,127.04,68.451992,
01/19/2017,127.55,72.26958,
01/18/2017,127.92,75.000711,
01/17/2017,127.87,74.885279,
01/13/2017,128.34,77.92946,
01/12/2017,126.62,74.517634,
01/11/2017,126.09,73.376246,
01/10/2017,124.35,69.315258,
01/09/2017,124.9,72.459483,
01/06/2017,123.41,69.034762,
01/05/2017,120.67,61.010439,
01/04/2017,118.69,53.107373,
01/03/2017,116.86,43.597518,
12/30/2016,115.05,31.172349,
12/29/2016,116.35,36.348374,
12/28/2016,116.92,38.897068,
12/27/2016,118.01,44.235277,
12/23/2016,117.27,39.131149,
12/22/2016,117.4,39.705754,
12/21/2016,119.04,47.650006,
12/20/2016,119.09,47.913046,
12/19/2016,119.24,48.63798,
12/16/2016,119.87,51.588433,
12/15/2016,120.57,54.91996,
12/14/2016,120.21,53.530962,
12/13/2016,120.31,53.946509,
12/12/2016,117.77,44.010875,
12/09/2016,119.68,51.535436,
12/08/2016,118.91,48.330217,
12/07/2016,117.95,44.188504,
12/06/2016,117.31,41.368664,
12/05/2016,117.43,41.724406,
12/02/2016,115.4,32.945312,
12/01/2016,115.1,31.574272,
11/30/2016,118.42,39.648642,
11/29/2016,120.87,47.760371,
11/28/2016,120.41,45.889692,
11/25/2016,120.38,45.775719,
11/23/2016,120.84,47.146109,
11/22/2016,121.47,48.952488,
11/21/2016,121.77,49.769731,
11/18/2016,117.02,34.089797,
11/17/2016,117.79,35.716418,
11/16/2016,116.34,30.060485,
11/15/2016,117.2,31.541858,
11/14/2016,115.08,23.138407,
11/11/2016,119.02,29.116707,
11/10/2016,120.8,32.534579,
11/09/2016,123.18,37.886324,
11/08/2016,124.22,40.506779,
11/07/2016,122.15,32.093059,
11/04/2016,120.75,25.696764,
11/03/2016,120,22.161818,
11/02/2016,127.17,37.519908,
11/01/2016,129.5,47.057533,
10/31/2016,130.99,55.122013,
10/28/2016,131.29,56.888663,
10/27/2016,129.69,49.050665,
10/26/2016,131.04,56.907328,
10/25/2016,132.29,65.673318,
10/24/2016,133.28,73.773627,
10/21/2016,132.07,69.656755,
10/20/2016,130,59.98576,
10/19/2016,130.11,60.914284,
10/18/2016,128.57,51.444124,
10/17/2016,127.54,43.15317,
10/14/2016,127.88,45.459221,
10/13/2016,127.82,44.992353,
10/12/2016,129.05,53.430761,
10/11/2016,128.88,52.318365,
10/10/2016,130.24,63.185348,
10/07/2016,128.99,55.547636,
10/06/2016,128.74,53.823234,
10/05/2016,128.47,52.013871,
10/04/2016,128.19,50.192346,
10/03/2016,128.77,54.014822,
09/30/2016,128.27,51.127068,
09/29/2016,128.09,50.112028,
09/28/2016,129.23,56.841046,
09/27/2016,128.69,54.22037,
09/26/2016,127.31,46.788942,
09/23/2016,127.96,50.246612,
09/22/2016,130.08,64.165598,
09/21/2016,129.94,63.565744,
09/20/2016,128.64,57.639744,
09/19/2016,128.65,57.704721,
09/16/2016,129.07,60.273078,
09/15/2016,128.35,57.343863,
09/14/2016,127.77,54.934815,
09/13/2016,127.21,52.609072,
09/12/2016,128.69,59.970739,
09/09/2016,127.1,53.707415,
09/08/2016,130.27,74.672234,
09/07/2016,131.05,81.737991,
09/06/2016,129.73,78.66291,
09/02/2016,126.51,66.148499,
09/01/2016,126.17,64.150361,
08/31/2016,126.12,63.868086,
08/30/2016,125.84,62.374966,
08/29/2016,126.54,68.769067,
08/26/2016,124.96,60.554894,
08/25/2016,123.89,53.024462,
08/24/2016,123.48,49.713772,
08/23/2016,124.37,57.651706,
08/22/2016,124.15,56.091975,
08/19/2016,123.56,51.80785,
08/18/2016,123.91,54.654974,
08/17/2016,124.37,58.454796,
08/16/2016,123.3,51.378036,
08/15/2016,123.9,56.210164,
08/12/2016,124.88,65.228241,
08/11/2016,124.9,65.421022,
08/10/2016,124.88,65.328799,
08/09/2016,125.06,66.771249,
08/08/2016,125.26,68.278836,
08/05/2016,125.15,67.920304,
08/04/2016,124.36,65.391979,
08/03/2016,122.51,58.498212,
08/02/2016,123.09,61.981936,
08/01/2016,124.31,69.857641,
07/29/2016,123.94,68.774673,
07/28/2016,125,75.796217,
07/27/2016,123.34,71.727986,
07/26/2016,121.22,64.958121,
07/25/2016,121.63,67.783236,
07/22/2016,121,65.721548,
07/21/2016,120.61,64.454199,
07/20/2016,121.92,72.564736,
07/19/2016,120.61,69.060856,
07/18/2016,119.37,65.283687,
07/15/2016,116.86,55.354007,
07/14/2016,117.29,57.90774,
07/13/2016,116.78,55.727498,
07/12/2016,117.93,62.273496,
07/11/2016,117.87,62.064253,
07/08/2016,117.24,59.965963,
07/07/2016,115.85,55.026364,
07/06/2016,116.7,59.035217,
07/05/2016,114,48.258839,
07/01/2016,114.19,49.07649,
06/30/2016,114.28,49.433553,
06/29/2016,114.16,48.988181,
06/28/2016,112.7,43.543276,
06/27/2016,108.97,25.180814,
06/24/2016,112.08,33.310914,
06/23/2016,115.08,46.284707,
06/22/2016,113.91,37.77868,
06/21/2016,114.38,40.072894,
06/20/2016,113.37,32.097773,
06/17/2016,113.02,29.157433,
06/16/2016,114.39,34.406028,
06/15/2016,114.6,35.282202,
06/14/2016,114.94,36.64188,
06/13/2016,113.95,29.524553,
06/10/2016,116.62,40.592919,
06/09/2016,118.56,53.776192,
06/08/2016,118.39,52.561134,
06/07/2016,117.76,48.002349,
06/06/2016,118.79,55.907795,
06/03/2016,118.47,53.779387,
06/02/2016,118.93,57.361716,
06/01/2016,118.78,56.511558,
05/31/2016,118.81,56.715108,
05/27/2016,119.38,60.43763,
05/26/2016,119.47,61.006648,
05/25/2016,117.89,54.192491,
05/24/2016,117.7,53.309432,
