Date,Close/Last,RSI,
15:25,846.900024,74.2901,
03/13/2017,845.54,73.219919,
03/10/2017,843.25,71.416913,
03/09/2017,838.68,67.485119,
03/08/2017,835.37,64.282405,
03/07/2017,831.91,60.634511,
03/06/2017,827.78,55.783142,
03/03/2017,829.08,57.801141,
03/02/2017,830.63,60.135567,
03/01/2017,835.24,67.424676,
02/28/2017,823.21,54.460769,
02/27/2017,829.28,66.47416,
02/24/2017,828.64,65.757385,
02/23/2017,831.33,71.543512,
02/22/2017,830.76,71.057844,
02/21/2017,831.66,72.824057,
02/17/2017,828.07,70.161476,
02/16/2017,824.16,66.991396,
02/15/2017,818.98,62.203559,
02/14/2017,820.45,64.59661,
02/13/2017,819.24,63.558008,
02/10/2017,813.67,58.516079,
02/09/2017,809.56,54.318871,
02/08/2017,808.38,53.092547,
02/07/2017,806.97,51.698066,
02/06/2017,801.34,45.920644,
02/03/2017,801.49,46.052728,
02/02/2017,798.53,43.148525,
02/01/2017,795.695,40.381972,
01/31/2017,796.79,41.076833,
01/30/2017,802.32,44.562042,
01/27/2017,823.31,62.749497,
01/26/2017,832.15,74.23337,
01/25/2017,835.67,79.443767,
01/24/2017,823.87,73.921198,
01/23/2017,819.31,71.233298,
01/20/2017,805.02,59.443905,
01/19/2017,802.175,56.229702,
01/18/2017,806.07,62.314933,
01/17/2017,804.61,60.886958,
01/13/2017,807.88,65.922204,
01/12/2017,806.36,64.700974,
01/11/2017,807.91,66.901321,
01/10/2017,804.79,64.728256,
01/09/2017,806.65,67.091623,
01/06/2017,806.15,66.798334,
01/05/2017,794.02,58.776616,
01/04/2017,786.9,52.745267,
01/03/2017,786.14,52.071608,
12/30/2016,771.82,36.790781,
12/29/2016,782.79,47.156569,
12/28/2016,785.05,49.755841,
12/27/2016,791.55,58.03635,
12/23/2016,789.91,56.388227,
12/22/2016,791.26,58.078129,
12/21/2016,794.56,62.177619,
12/20/2016,796.42,64.486643,
12/19/2016,794.2,63.011112,
12/16/2016,790.8,60.764083,
12/15/2016,797.85,68.533594,
12/14/2016,797.07,68.127799,
12/13/2016,796.1,67.661026,
12/12/2016,789.27,64.352673,
12/09/2016,789.29,64.370028,
12/08/2016,776.42,57.775023,
12/07/2016,771.19,54.708986,
12/06/2016,759.11,46.657217,
12/05/2016,762.52,48.864206,
12/02/2016,750.5,39.835778,
12/01/2016,747.92,37.71129,
11/30/2016,758.04,43.081765,
11/29/2016,770.84,51.41705,
11/28/2016,768.24,49.635673,
11/25/2016,761.68,45.061394,
11/23/2016,760.99,44.584946,
11/22/2016,768.27,48.585991,
11/21/2016,769.2,49.092508,
11/18/2016,760.54,44.218934,
11/17/2016,771.23,49.481683,
11/16/2016,764.48,45.817003,
11/15/2016,758.49,42.484769,
11/14/2016,736.08,27.464368,
11/11/2016,754.02,33.829679,
11/10/2016,762.56,37.559116,
11/09/2016,785.31,51.052821,
11/08/2016,790.51,55.127046,
11/07/2016,782.52,49.560555,
11/04/2016,762.02,29.312124,
11/03/2016,762.13,29.36906,
11/02/2016,768.7,32.793136,
11/01/2016,783.61,43.042767,
10/31/2016,784.54,43.811474,
10/28/2016,795.37,53.900282,
10/27/2016,795.35,53.882631,
10/26/2016,799.07,57.572699,
10/25/2016,807.67,67.139369,
10/24/2016,813.11,74.154302,
10/21/2016,799.37,66.103687,
10/20/2016,796.97,64.358407,
10/19/2016,801.56,70.616826,
10/18/2016,795.26,66.605325,
10/17/2016,779.96,52.401987,
10/14/2016,778.53,50.635902,
10/13/2016,778.19,50.240825,
10/12/2016,786.14,60.416306,
10/11/2016,783.07,57.419025,
10/10/2016,785.94,61.326012,
10/07/2016,775.08,49.66114,
10/06/2016,776.86,51.973613,
10/05/2016,776.47,51.528538,
10/04/2016,776.43,51.487038,
10/03/2016,772.56,47.578972,
09/30/2016,777.29,52.205007,
09/29/2016,775.01,50.100217,
09/28/2016,781.56,56.537655,
09/27/2016,783.01,58.023054,
09/26/2016,774.21,50.989936,
09/23/2016,786.9,65.158656,
09/22/2016,787.21,65.559174,
09/21/2016,776.22,57.156596,
09/20/2016,771.41,52.601547,
09/19/2016,765.7,46.52758,
09/16/2016,768.88,49.721201,
09/15/2016,771.76,52.667836,
09/14/2016,762.49,42.857777,
09/13/2016,759.69,39.446015,
09/12/2016,769.02,48.049554,
09/09/2016,759.66,35.310232,
09/08/2016,775.32,55.980962,
09/07/2016,780.35,67.384322,
09/06/2016,780.08,67.060167,
09/02/2016,771.46,53.893582,
09/01/2016,768.78,48.087341,
08/31/2016,767.05,43.989481,
08/30/2016,769.09,48.011617,
08/29/2016,772.15,54.772514,
08/26/2016,769.54,49.290942,
08/25/2016,769.41,49.01393,
08/24/2016,769.64,49.444015,
08/23/2016,772.08,53.965214,
08/22/2016,772.15,54.092926,
08/19/2016,775.42,60.06967,
08/18/2016,777.5,64.125833,
08/17/2016,779.91,68.983184,
08/16/2016,777.14,66.346211,
08/15/2016,782.44,77.725362,
08/12/2016,783.22,79.532109,
08/11/2016,784.85,83.168137,
08/10/2016,784.68,83.095595,
08/09/2016,784.26,82.932034,
08/08/2016,781.76,81.998969,
08/05/2016,782.22,82.748084,
08/04/2016,771.61,78.710687,
08/03/2016,773.18,81.242756,
08/02/2016,771.07,80.483353,
08/01/2016,772.88,83.080157,
07/29/2016,768.79,81.89195,
07/28/2016,745.91,71.987766,
07/27/2016,741.77,69.248735,
07/26/2016,738.42,66.891075,
07/25/2016,739.77,68.804297,
07/22/2016,742.74,72.93474,
07/21/2016,738.63,70.747633,
07/20/2016,741.19,74.104572,
07/19/2016,736.96,72.1386,
07/18/2016,733.78,70.629951,
07/15/2016,719.85,62.658356,
07/14/2016,720.95,63.890788,
07/13/2016,716.98,61.426368,
07/12/2016,720.64,65.113609,
07/11/2016,715.09,62.00062,
07/08/2016,705.63,55.974037,
07/07/2016,695.36,47.900805,
07/06/2016,697.77,49.830658,
07/05/2016,694.49,47.226315,
07/01/2016,699.21,50.630244,
06/30/2016,692.1,45.283561,
06/29/2016,684.11,38.553131,
06/28/2016,680.04,34.880957,
06/27/2016,668.26,22.874502,
06/24/2016,675.22,25.360946,
06/23/2016,701.87,40.550988,
06/22/2016,697.46,34.728612,
06/21/2016,695.94,32.683463,
06/20/2016,693.71,29.778254,
06/17/2016,691.72,27.256873,
06/16/2016,710.36,39.088759,
06/15/2016,718.92,47.634985,
06/14/2016,718.27,46.840686,
06/13/2016,718.36,46.929394,
06/10/2016,719.41,47.881517,
06/09/2016,728.58,56.965661,
06/08/2016,728.28,56.723915,
06/07/2016,716.65,46.174379,
06/06/2016,716.55,46.072647,
06/03/2016,722.34,51.106049,
06/02/2016,730.4,59.21034,
06/01/2016,734.15,63.421668,
05/31/2016,735.72,65.168166,
05/27/2016,732.66,63.400202,
05/26/2016,724.12,58.052292,
05/25/2016,725.27,59.098859,
05/24/2016,720.09,55.873953,
05/23/2016,704.24,43.6354,
05/20/2016,709.74,47.77347,
