Date,Close/Last,RSI,
15:26,112.449997,72.253365,
03/13/2017,111.52,64.665805,
03/10/2017,110.92,57.996337,
03/09/2017,111.03,59.860662,
03/08/2017,110.84,57.749323,
03/07/2017,110.86,58.038539,
03/06/2017,110.67,56.161389,
03/03/2017,111.24,63.876727,
03/02/2017,110.59,57.947629,
03/01/2017,111.04,64.548975,
02/28/2017,110.09,54.756092,
02/27/2017,110.23,56.838527,
02/24/2017,110.32,58.117325,
02/23/2017,109.73,51.706744,
02/22/2017,110.12,56.886736,
02/21/2017,110.01,55.761741,
02/17/2017,110.06,56.363409,
02/16/2017,110.71,64.506938,
02/15/2017,110.18,60.297346,
02/14/2017,110.33,62.17569,
02/13/2017,109.65,56.668345,
02/10/2017,109.26,53.147015,
02/09/2017,109.49,55.542726,
02/08/2017,109,51.336744,
02/07/2017,109,51.336744,
02/06/2017,109.57,56.36094,
02/03/2017,110.3,63.527124,
02/02/2017,110.61,66.771901,
02/01/2017,111.3,74.382645,
01/31/2017,110.65,71.642259,
01/30/2017,110.94,74.857705,
01/27/2017,109.3,67.413951,
01/26/2017,108.06,59.192526,
01/25/2017,108.04,59.042523,
01/24/2017,107.9,58.071546,
01/23/2017,107.12,52.414944,
01/20/2017,107.66,57.225291,
01/19/2017,107.28,54.585638,
01/18/2017,108.16,62.642597,
01/17/2017,107.97,61.53948,
01/13/2017,108.06,62.32405,
01/12/2017,107.53,59.593805,
01/11/2017,109.44,77.904236,
01/10/2017,108.38,73.898548,
01/09/2017,108.36,73.817947,
01/06/2017,108.98,80.777273,
01/05/2017,107.38,75.388116,
01/04/2017,107.44,76.108247,
01/03/2017,106.08,70.3257,
12/30/2016,104.22,57.734229,
12/29/2016,104.56,62.066995,
12/28/2016,104.3,60.001057,
12/27/2016,105.17,71.773044,
12/23/2016,105.15,71.657997,
12/22/2016,105.42,75.391435,
12/21/2016,105.56,77.270158,
12/20/2016,105.46,76.900104,
12/19/2016,105.3,76.34555,
12/16/2016,103.91,70.879549,
12/15/2016,104.39,76.363745,
12/14/2016,104.05,75.137382,
12/13/2016,103.85,74.435156,
12/12/2016,104.06,76.476374,
12/09/2016,104.86,84.412957,
12/08/2016,103.38,81.157074,
12/07/2016,101.99,77.116724,
12/06/2016,100.66,71.934403,
12/05/2016,99.96,68.56191,
12/02/2016,98.5,59.405061,
12/01/2016,98.94,64.500675,
11/30/2016,99.12,66.604146,
11/29/2016,99.67,73.165798,
11/28/2016,98.97,69.752455,
11/25/2016,98.82,68.991772,
11/23/2016,98.26,66.129761,
11/22/2016,97.71,63.120978,
11/21/2016,97.63,62.687065,
11/18/2016,98.24,68.193187,
11/17/2016,99.37,79.892648,
11/16/2016,99.12,79.181468,
11/15/2016,97.7,74.58654,
11/14/2016,97.92,76.954867,
11/11/2016,97.68,76.213307,
11/10/2016,94.96,64.591456,
11/09/2016,94.64,62.659745,
11/08/2016,94.38,61.108224,
11/07/2016,94.43,61.550867,
11/04/2016,92.45,48.170469,
11/03/2016,93.37,56.374567,
11/02/2016,91.91,42.351393,
11/01/2016,92.39,46.802936,
10/31/2016,92.69,49.744012,
10/28/2016,93.85,63.666766,
10/27/2016,94.02,66.107197,
10/26/2016,93.49,62.022608,
10/25/2016,92.75,55.244921,
10/24/2016,93.37,63.83547,
10/21/2016,93.03,60.829254,
10/20/2016,92.03,49.778543,
10/19/2016,91.93,48.470176,
10/18/2016,91.17,37.296748,
10/17/2016,90.83,31.298842,
10/14/2016,91.3,35.526761,
10/13/2016,91.12,32.378275,
10/12/2016,91.41,34.845673,
10/11/2016,91.86,38.995788,
10/10/2016,92.49,45.880952,
10/07/2016,92.49,45.880952,
10/06/2016,92.83,49.718349,
10/05/2016,92.45,45.09957,
10/04/2016,92.59,46.516376,
10/03/2016,92.49,45.41399,
09/30/2016,92.86,48.760775,
09/29/2016,91.8,36.740628,
09/28/2016,92.2,39.921218,
09/27/2016,91.72,33.724876,
09/26/2016,91.96,35.366282,
09/23/2016,93.27,46.479165,
09/22/2016,93.41,47.927679,
09/21/2016,92.39,34.553556,
09/20/2016,92.95,39.576073,
09/19/2016,92.63,34.694219,
09/16/2016,92.56,33.638662,
09/15/2016,92.5,32.800767,
09/14/2016,92.26,29.600803,
09/13/2016,92.7,32.124902,
09/12/2016,93.64,38.42478,
09/09/2016,92.42,20.128839,
09/08/2016,94.09,31.751778,
09/07/2016,93.71,22.598987,
09/06/2016,93.8,23.264029,
09/02/2016,94.42,28.455895,
09/01/2016,94.26,24.544798,
08/31/2016,94.46,26.153229,
08/30/2016,94.86,29.650668,
08/29/2016,94.87,29.740153,
08/26/2016,95.21,32.766106,
08/25/2016,95.55,36.069009,
08/24/2016,95.82,38.869313,
08/23/2016,95.97,40.439107,
08/22/2016,95.87,38.959993,
08/19/2016,96.39,44.083431,
08/18/2016,96.65,46.856258,
08/17/2016,96.87,49.21361,
08/16/2016,96.88,49.315108,
08/15/2016,97.1,51.414645,
08/12/2016,96.84,49.110194,
08/11/2016,97.77,57.960211,
08/10/2016,97.86,58.88443,
08/09/2016,96.67,49.255419,
08/08/2016,95.75,39.376763,
08/05/2016,95.83,39.985964,
08/04/2016,95.16,32.063693,
08/03/2016,96.09,38.395503,
08/02/2016,95.01,22.373926,
08/01/2016,95.54,25.277414,
07/29/2016,95.95,27.788068,
07/28/2016,95.91,27.152757,
07/27/2016,96.33,29.614936,
07/26/2016,96.69,31.84238,
07/25/2016,97.39,36.668873,
07/22/2016,97.71,39.107711,
07/21/2016,98.01,41.432822,
07/20/2016,98.22,43.045121,
07/19/2016,99.47,54.381875,
07/18/2016,100.15,62.432229,
07/15/2016,99.8,59.666372,
07/14/2016,99.97,61.650522,
07/13/2016,99.88,61.033107,
07/12/2016,100.2,64.348264,
07/11/2016,99.98,63.108379,
07/08/2016,99.62,61.116859,
07/07/2016,98.41,53.528062,
07/06/2016,98.45,53.840698,
07/05/2016,97.66,48.493455,
07/01/2016,98.03,50.98296,
06/30/2016,97.82,49.662948,
06/29/2016,96.98,44.259047,
06/28/2016,96.05,37.582151,
06/27/2016,94.38,22.598159,
06/24/2016,95.72,27.337373,
06/23/2016,99.02,51.080724,
06/22/2016,98.79,48.262008,
06/21/2016,98.82,48.590678,
06/20/2016,99.57,57.383403,
06/17/2016,99,51.363509,
06/16/2016,98.38,43.558613,
06/15/2016,98.27,42.074321,
06/14/2016,98.4,43.285067,
06/13/2016,97.57,32.049162,
06/10/2016,97.34,28.517299,
06/09/2016,97.84,31.745626,
06/08/2016,98.04,33.094359,
06/07/2016,98.35,35.179348,
06/06/2016,98.78,38.182396,
06/03/2016,98.75,37.849264,
06/02/2016,98.72,37.54636,
06/01/2016,98.52,35.665069,
05/31/2016,99.22,39.404016,
05/27/2016,100.29,46.044722,
05/26/2016,99.81,42.105494,
05/25/2016,99.86,42.395676,
05/24/2016,99.51,39.781079,
05/23/2016,99.18,37.368792,
05/20/2016,99.78,39.990166,
05/19/2016,98.41,29.882303,
05/18/2016,99,31.969414,
05/17/2016,99.94,35.527483,
05/16/2016,100.36,37.192019,
05/13/2016,100.52,37.799209,
05/12/2016,101.71,42.436737,
05/11/2016,102.29,44.850499,
05/10/2016,106.6,72.386615,
05/09/2016,105.34,67.066674,
05/06/2016,105.54,68.964762,
05/05/2016,104.93,66.350622,
05/04/2016,103.67,60.103297,
05/03/2016,103.78,60.993034,
05/02/2016,104.36,65.601487,
04/29/2016,103.26,60.508323,
04/28/2016,104.03,66.733196,
04/27/2016,105.28,78.537943,
04/26/2016,104.89,77.416158,
04/25/2016,104.57,76.509467,
04/22/2016,103.77,74.176794,
04/21/2016,102.91,71.432124,
04/20/2016,103.27,74.411794,
04/19/2016,102.64,72.612476,
04/18/2016,101.48,69.000144,
04/15/2016,98.59,55.982061,
04/14/2016,98.63,56.276448,
04/13/2016,99.48,62.569059,
04/12/2016,97.35,49.946717,
04/11/2016,96.27,40.843415,
04/08/2016,96.42,41.793551,
04/07/2016,96.16,39.60169,
04/06/2016,97.48,47.83171,
04/05/2016,97,44.024612,
04/04/2016,98.68,57.165788,
04/01/2016,99.07,60.968021,
03/31/2016,99.31,63.299836,
03/30/2016,98.91,61.066213,
03/29/2016,98.16,56.609891,
03/28/2016,98.09,56.188665,
03/24/2016,97.22,50.851661,
03/23/2016,96.83,48.311306,
03/22/2016,97.58,53.057813,
03/21/2016,98.46,59.199808,
03/18/2016,99.2,64.884296,
03/17/2016,99.6,68.06379,
03/16/2016,98.44,63.38025,
03/15/2016,98.24,62.527507,
03/14/2016,98.81,66.499498,
