Date,Close/Last,RSI,
16:00,64.409996,49.388658,
03/13/2017,64.71,54.649764,
03/10/2017,64.93,58.782485,
03/09/2017,64.73,56.064059,
03/08/2017,64.99,60.752,
03/07/2017,64.4,52.669183,
03/06/2017,64.27,50.65392,
03/03/2017,64.25,50.361277,
03/02/2017,64.01,46.964431,
03/01/2017,64.94,61.686087,
02/28/2017,63.98,45.944001,
02/27/2017,64.23,50.839766,
02/24/2017,64.62,59.784017,
02/23/2017,64.62,59.784017,
02/22/2017,64.36,55.562336,
02/21/2017,64.49,58.317172,
02/17/2017,64.62,61.040998,
02/16/2017,64.52,59.739135,
02/15/2017,64.53,59.91934,
02/14/2017,64.57,60.577179,
02/13/2017,64.72,62.908129,
02/10/2017,64,55.513102,
02/09/2017,64.06,56.355778,
02/08/2017,63.34,47.797642,
02/07/2017,63.43,48.875842,
02/06/2017,63.64,51.306268,
02/03/2017,63.68,51.747391,
02/02/2017,63.17,46.465684,
02/01/2017,63.58,50.462143,
01/31/2017,64.65,63.237028,
01/30/2017,65.13,70.436286,
01/27/2017,65.78,81.783723,
01/26/2017,64.27,72.531619,
01/25/2017,63.68,66.558785,
01/24/2017,63.52,64.684556,
01/23/2017,62.96,57.113178,
01/20/2017,62.74,53.595575,
01/19/2017,62.3,45.557902,
01/18/2017,62.5,49.032243,
01/17/2017,62.53,49.5423,
01/13/2017,62.7,52.317904,
01/12/2017,62.61,51.010158,
01/11/2017,63.19,60.659427,
01/10/2017,62.62,52.754725,
01/09/2017,62.64,53.0916,
01/06/2017,62.84,56.328882,
01/05/2017,62.3,48.732575,
01/04/2017,62.3,48.732575,
01/03/2017,62.58,52.573391,
12/30/2016,62.14,46.623771,
12/29/2016,62.9,57.918889,
12/28/2016,62.99,59.453986,
12/27/2016,63.28,64.404246,
12/23/2016,63.24,64.032487,
12/22/2016,63.55,69.063514,
12/21/2016,63.54,68.992785,
12/20/2016,63.54,68.992785,
12/19/2016,63.62,70.030289,
12/16/2016,62.3,61.413435,
12/15/2016,62.58,64.980194,
12/14/2016,62.68,66.216312,
12/13/2016,62.98,69.80146,
12/12/2016,62.17,65.226385,
12/09/2016,61.97,64.014887,
12/08/2016,61.01,57.639308,
12/07/2016,61.37,61.305094,
12/06/2016,59.95,50.021082,
12/05/2016,60.22,52.648401,
12/02/2016,59.25,42.961675,
12/01/2016,59.2,42.415174,
11/30/2016,60.26,51.903764,
11/29/2016,61.09,61.617842,
11/28/2016,60.61,57.475483,
11/25/2016,60.53,56.775742,
11/23/2016,60.4,55.709881,
11/22/2016,61.12,63.517079,
11/21/2016,60.86,61.776151,
11/18/2016,60.35,58.259864,
11/17/2016,60.64,61.13814,
11/16/2016,59.65,54.183689,
11/15/2016,58.87,47.524915,
11/14/2016,58.12,39.975527,
11/11/2016,59.02,47.329344,
11/10/2016,58.7,44.03487,
11/09/2016,60.17,59.394153,
11/08/2016,60.47,63.459697,
11/07/2016,60.42,63.080626,
11/04/2016,58.71,45.761575,
11/03/2016,59.21,52.206379,
11/02/2016,59.43,55.289921,
11/01/2016,59.8,60.718264,
10/31/2016,59.92,62.509655,
10/28/2016,59.87,62.090231,
10/27/2016,60.1,65.105689,
10/26/2016,60.63,72.397664,
10/25/2016,60.99,77.719025,
10/24/2016,61,77.8621,
10/21/2016,59.66,71.544531,
10/20/2016,57.25,47.116498,
10/19/2016,57.53,51.762995,
10/18/2016,57.66,53.987715,
10/17/2016,57.22,47.056295,
10/14/2016,57.42,50.146664,
10/13/2016,56.92,41.502748,
10/12/2016,57.11,44.118926,
10/11/2016,57.19,45.198605,
10/10/2016,58.04,59.007051,
10/07/2016,57.8,55.556721,
10/06/2016,57.74,54.698807,
10/05/2016,57.64,53.347981,
10/04/2016,57.24,47.737757,
10/03/2016,57.42,50.181813,
09/30/2016,57.6,52.605771,
09/29/2016,57.4,50.200269,
09/28/2016,58.03,58.637699,
09/27/2016,57.95,57.827626,
09/26/2016,56.9,45.134802,
09/23/2016,57.43,52.283443,
09/22/2016,57.82,58.410219,
09/21/2016,57.76,57.724276,
09/20/2016,56.81,44.735724,
09/19/2016,56.93,46.35479,
09/16/2016,57.25,50.764181,
09/15/2016,57.19,49.960956,
09/14/2016,56.26,35.218018,
09/13/2016,56.53,38.155356,
09/12/2016,57.05,44.603591,
09/09/2016,56.21,26.559255,
09/08/2016,57.43,46.252522,
09/07/2016,57.66,52.908955,
09/06/2016,57.61,51.544582,
09/02/2016,57.67,53.209559,
09/01/2016,57.59,51.322729,
08/31/2016,57.46,48.272049,
08/30/2016,57.89,59.343711,
08/29/2016,58.1,65.99697,
08/26/2016,58.03,64.8135,
08/25/2016,58.17,69.145366,
08/24/2016,57.95,65.924367,
08/23/2016,57.89,65.028263,
08/22/2016,57.67,61.704951,
08/19/2016,57.62,60.945829,
08/18/2016,57.6,60.665125,
08/17/2016,57.56,60.149556,
08/16/2016,57.44,58.687533,
08/15/2016,58.12,72.195934,
08/12/2016,57.94,70.58282,
08/11/2016,58.3,78.81338,
08/10/2016,58.02,76.930293,
08/09/2016,58.2,81.100821,
08/08/2016,58.06,80.355341,
08/05/2016,57.96,79.84424,
08/04/2016,57.39,76.739717,
08/03/2016,56.97,74.093528,
08/02/2016,56.58,71.371709,
08/01/2016,56.58,71.371709,
07/29/2016,56.68,72.963841,
07/28/2016,56.21,70.146865,
07/27/2016,56.19,70.027262,
07/26/2016,56.76,78.047673,
07/25/2016,56.73,77.927927,
07/22/2016,56.57,77.334472,
07/21/2016,55.8,74.347058,
07/20/2016,55.91,75.628682,
07/19/2016,53.09,59.533785,
07/18/2016,53.96,72.901542,
07/15/2016,53.7,71.159774,
07/14/2016,53.74,71.798761,
07/13/2016,53.51,70.424399,
07/12/2016,53.21,68.629717,
07/11/2016,52.59,64.638582,
07/08/2016,52.3,62.63751,
07/07/2016,51.38,55.437465,
07/06/2016,51.38,55.437465,
07/05/2016,51.17,53.79104,
07/01/2016,51.16,53.717756,
06/30/2016,51.17,53.794539,
06/29/2016,50.54,49.719527,
06/28/2016,49.44,41.63007,
06/27/2016,48.43,32.679789,
06/24/2016,49.83,40.409872,
06/23/2016,51.91,59.103645,
06/22/2016,50.99,49.872579,
06/21/2016,51.19,52.176829,
06/20/2016,50.07,37.660289,
06/17/2016,50.13,38.219644,
06/16/2016,50.39,40.569652,
06/15/2016,49.69,30.165126,
06/14/2016,49.83,31.146643,
06/13/2016,50.14,33.306355,
06/10/2016,51.48,45.609866,
06/09/2016,51.62,47.251136,
06/08/2016,52.04,52.336079,
06/07/2016,52.1,53.070374,
06/06/2016,52.13,53.407571,
06/03/2016,51.79,50.178724,
06/02/2016,52.48,57.450465,
06/01/2016,52.85,61.770583,
05/31/2016,53,63.513184,
05/27/2016,52.32,58.767286,
05/26/2016,51.89,55.47098,
05/25/2016,52.12,57.691205,
05/24/2016,51.59,53.861308,
05/23/2016,50.03,39.30723,
05/20/2016,50.62,44.035378,
05/19/2016,50.32,40.775258,
05/18/2016,50.81,44.593937,
05/17/2016,50.51,41.579184,
05/16/2016,51.83,52.998939,
05/13/2016,51.08,45.31922,
05/12/2016,51.51,49.491967,
05/11/2016,51.05,44.578974,
05/10/2016,51.02,44.260736,
05/09/2016,50.07,33.353926,
05/06/2016,50.39,35.457272,
05/05/2016,49.94,29.859185,
05/04/2016,49.87,28.997007,
05/03/2016,49.78,27.972508,
05/02/2016,50.61,31.778285,
04/29/2016,49.87,23.417705,
04/28/2016,49.9,23.522886,
04/27/2016,50.94,27.356488,
04/26/2016,51.44,29.431949,
04/25/2016,52.11,32.396056,
04/22/2016,51.78,29.236959,
04/21/2016,55.78,59.64,
04/20/2016,55.59,57.762323,
04/19/2016,56.39,70.125313,
04/18/2016,56.46,71.32754,
04/15/2016,55.65,65.09563,
04/14/2016,55.36,62.46703,
04/13/2016,55.35,62.379103,
04/12/2016,54.65,55.865447,
04/11/2016,54.31,52.251527,
04/08/2016,54.42,53.527776,
04/07/2016,54.46,53.959107,
04/06/2016,55.12,61.293661,
04/05/2016,54.56,56.810622,
04/04/2016,55.43,67.788553,
04/01/2016,55.57,69.740312,
03/31/2016,55.23,67.708161,
03/30/2016,55.05,66.640719,
03/29/2016,54.71,64.654464,
03/28/2016,53.54,56.662995,
03/24/2016,54.21,64.136586,
03/23/2016,53.97,62.543896,
03/22/2016,54.07,63.603124,
03/21/2016,53.86,62.399588,
03/18/2016,53.49,60.318918,
03/17/2016,54.66,71.593822,
03/16/2016,54.35,70.268586,
03/15/2016,53.59,66.85691,
03/14/2016,53.17,64.850843,
